Release Group,%...5,%...7,tconst,startYear,runtimeMinutes,g1,g2,g3,averageRating,numVotes,Total
Hello Mr. Billionaire,-,100%,tt8529186,2018-01-01,118,Comedy,NA,NA,6.1,2020,366961907
Shazam!,38.4%,61.6%,tt0448115,2019-01-01,132,Action,Adventure,Comedy,7,314222,365971656
The Nun,32.1%,67.9%,tt5814060,2018-01-01,96,Horror,Mystery,Thriller,5.3,135507,365550119
Tenet,16.1%,83.9%,tt6723592,2020-01-01,150,Action,Sci-Fi,Thriller,7.4,460705,363704105
Monster Hunt 2,0.2%,99.8%,tt6170484,2018-01-01,110,Adventure,Comedy,Fantasy,5.4,1677,361682618
Dumbo,32.5%,67.5%,tt0033563,1941-01-01,64,Adventure,Animation,Drama,7.3,128950,353284621
Murder on the Orient Express,29.1%,70.9%,tt3402236,2017-01-01,114,Crime,Drama,Mystery,6.5,239558,352789811
Peter Rabbit,32.8%,67.2%,tt5117670,2018-01-01,95,Adventure,Animation,Comedy,6.6,41515,351266433
Mary Poppins Returns,49.2%,50.8%,tt5028340,2018-01-01,130,Adventure,Comedy,Family,6.7,86102,349537494
xXx: Return of Xander Cage,13%,87%,tt1293847,2017-01-01,107,Action,Adventure,Comedy,5.2,90794,346118277
A Quiet Place,55.1%,44.9%,tt6644200,2018-01-01,90,Drama,Horror,Sci-Fi,7.5,502838,340939361
Never Say Die,-,100%,tt7431894,2017-01-01,100,Comedy,Fantasy,Sport,6.1,1501,334530869
Free Guy,36.7%,63.3%,tt6264654,2021-01-01,115,Action,Adventure,Comedy,7.2,319856,331526598
Crazy Alien,-,100%,tt6660238,2019-01-01,116,Comedy,Sci-Fi,NA,5.7,1272,327598891
John Wick: Chapter 3 - Parabellum,52.3%,47.7%,tt6146586,2019-01-01,130,Action,Crime,Thriller,7.4,323435,326709727
Green Book,26.4%,73.6%,tt6966692,2018-01-01,130,Biography,Comedy,Drama,8.2,457951,321752656
Sonic the Hedgehog,46.6%,53.4%,tt3794354,2020-01-01,99,Action,Adventure,Comedy,6.5,117200,319715683
The Lego Batman Movie,56.3%,43.7%,tt4116284,2016-01-01,104,Action,Adventure,Animation,7.3,144313,311950384
Knives Out,53.1%,46.9%,tt8946378,2019-01-01,130,Comedy,Crime,Drama,7.9,582399,311605581
The Ex-File 3: The Return of The Exes,0.3%,99.7%,tt7830888,2017-01-01,120,Comedy,Romance,NA,5.6,474,307592427
Annabelle: Creation,33.3%,66.7%,tt5140878,2017-01-01,109,Horror,Mystery,Thriller,6.5,128848,306515884
Wonder,43.3%,56.7%,tt2543472,2017-01-01,113,Drama,Family,NA,7.9,159045,305937718
Skyscraper,22.4%,77.6%,tt5758778,2018-01-01,102,Action,Adventure,Thriller,5.8,119143,304868961
Ocean's Eight,47.1%,52.9%,tt5164214,2018-01-01,110,Action,Comedy,Crime,6.3,210448,297718711
A Quiet Place Part II,53.8%,46.2%,tt8332922,2020-01-01,97,Drama,Horror,Sci-Fi,7.2,202441,297372261
Ferdinand,28.5%,71.5%,tt3411444,2017-01-01,108,Adventure,Animation,Comedy,6.7,55231,296069199
Pacific Rim: Uprising,20.6%,79.4%,tt2557478,2018-01-01,111,Action,Adventure,Sci-Fi,5.6,114637,290930148
Maze Runner: The Death Cure,20.1%,79.9%,tt4500922,2018-01-01,143,Action,Adventure,Sci-Fi,6.2,132277,288175335
Split,49.7%,50.3%,tt4972582,2016-01-01,117,Horror,Thriller,NA,7.3,472016,278454358
Tomb Raider,21.2%,78.8%,tt1365519,2018-01-01,119,Action,Adventure,Fantasy,6.3,209275,274650803
Terminator: Dark Fate,23.8%,76.2%,tt6450804,2019-01-01,128,Action,Adventure,Sci-Fi,6.2,170551,261119292
Blade Runner 2049,35.5%,64.5%,tt1856101,2017-01-01,164,Action,Drama,Mystery,8,533260,259239658
Parasite,20.6%,79.4%,tt6751668,2019-01-01,132,Comedy,Drama,Thriller,8.5,730822,258632621
Kung Fu Yoga,0.1%,99.9%,tt4217392,2017-01-01,107,Action,Adventure,Comedy,5.2,10065,257743016
Pegasus,-,100%,tt9597190,2019-01-01,98,Comedy,Sport,NA,6.3,1732,255863112
Halloween,62.4%,37.6%,tt0077651,1978-01-01,91,Horror,Thriller,NA,7.7,264424,255485178
Get Out,68.9%,31.1%,tt5052448,2017-01-01,104,Horror,Mystery,Thriller,7.7,555644,255407969
Us,68.6%,31.4%,tt6857112,2019-01-01,116,Horror,Mystery,Thriller,6.8,272063,255184580
Encanto,37.7%,62.3%,tt2953050,2021-01-01,102,Animation,Comedy,Family,7.3,176499,255101005
Baahubali 2: The Conclusion,7.9%,92.1%,tt4849438,2017-01-01,167,Action,Drama,NA,8.3,87732,254158390
Men in Black: International,31.5%,68.5%,tt2283336,2019-01-01,114,Action,Adventure,Comedy,5.6,129168,253890701
X-Men: Dark Phoenix,26.1%,73.9%,tt6565702,2019-01-01,113,Action,Adventure,Sci-Fi,5.7,178846,252442974
Journey to the West: The Demons Strike Back,0.4%,99.6%,tt5273624,2017-01-01,109,Adventure,Comedy,Family,5.4,3102,247585244
Glass,45%,55%,tt6823368,2019-01-01,129,Drama,Sci-Fi,Thriller,6.6,233135,246999039
Dolittle,31.4%,68.6%,tt6673612,2020-01-01,101,Adventure,Comedy,Family,5.6,61388,245439115
The Bravest,0.1%,99.9%,tt10218674,2019-01-01,118,Action,Drama,Family,5.7,940,245179562
Alien: Covenant,30.8%,69.2%,tt2316204,2017-01-01,122,Horror,Sci-Fi,Thriller,6.4,273127,240891763
Legend of Deification,<0.1%,99.9%,tt11177804,2020-01-01,110,Action,Adventure,Animation,6.5,1719,240663149
Crazy Rich Asians,73.2%,26.8%,tt3104988,2018-01-01,120,Comedy,Drama,Romance,6.9,164800,238532921
Cruella,36.9%,63.1%,tt3228774,2021-01-01,134,Adventure,Comedy,Crime,7.4,216157,233503234
Annabelle Comes Home,32.1%,67.9%,tt8350360,2019-01-01,106,Horror,Mystery,Thriller,5.9,71765,231252591
